,Quarter,close,volume,ticker
150,24.Q3,249.9,1910807800,TSLA
151,24.Q2,232.1,2946114300,TSLA
152,24.Q1,183.3,2478540800,TSLA
153,23.Q4,187.3,2343784600,TSLA
154,23.Q3,200.8,2590570100,TSLA
155,23.Q2,267.4,2392089000,TSLA
156,23.Q1,164.3,2505176300,TSLA
157,22.Q4,173.2,3897499400,TSLA
158,22.Q3,227.5,1735263100,TSLA
159,22.Q2,297.1,1744884000,TSLA
160,22.Q1,290.3,1520959800,TSLA
161,21.Q4,312.2,1916006400,TSLA
162,21.Q3,371.3,1586803800,TSLA
163,21.Q2,229.1,1345349400,TSLA
164,21.Q1,236.5,2035619100,TSLA
165,20.Q4,264.5,2117084400,TSLA
166,20.Q3,129.3,2500999200,TSLA
167,20.Q2,95.4,5679502500,TSLA
168,20.Q1,52.1,5722162500,TSLA
169,19.Q4,43.4,6108277500,TSLA
170,19.Q3,21.0,3419739000,TSLA
171,19.Q2,16.1,2990050500,TSLA
172,19.Q1,15.9,3461209500,TSLA
173,18.Q4,20.5,2634781500,TSLA
174,18.Q3,22.5,4295410500,TSLA
175,24.Q3,169.8,440173000,AVGO
176,24.Q2,160.7,747793200,AVGO
177,24.Q1,130.0,524184000,AVGO
178,23.Q4,118.0,582842000,AVGO
179,23.Q3,84.1,462210000,AVGO
180,23.Q2,89.9,489146000,AVGO
181,23.Q1,62.7,313005000,AVGO
182,22.Q4,58.5,445594000,AVGO
183,22.Q3,47.0,481500000,AVGO
184,22.Q2,53.5,394534000,AVGO
185,22.Q1,55.4,425646000,AVGO
186,21.Q4,58.6,627019000,AVGO
187,21.Q3,53.2,341653000,AVGO
188,21.Q2,48.5,323364000,AVGO
189,21.Q1,45.6,405583000,AVGO
190,20.Q4,45.0,321317000,AVGO
191,20.Q3,35.0,337378000,AVGO
192,20.Q2,31.7,379233000,AVGO
193,20.Q1,27.2,619989000,AVGO
194,19.Q4,30.5,585943000,AVGO
195,19.Q3,29.3,421659000,AVGO
196,19.Q2,29.0,520257000,AVGO
197,19.Q1,31.8,407661000,AVGO
198,18.Q4,26.8,749381000,AVGO
199,18.Q3,22.3,740940000,AVGO
200,24.Q3,450.9,74179800,BRK-B
201,24.Q2,438.5,79757100,BRK-B
202,24.Q1,396.7,63839500,BRK-B
203,23.Q4,383.7,73388600,BRK-B
204,23.Q3,341.3,64919600,BRK-B
205,23.Q2,352.0,55699500,BRK-B
206,23.Q1,328.5,55089500,BRK-B
207,22.Q4,311.5,66930800,BRK-B
208,22.Q3,295.1,84939300,BRK-B
209,22.Q2,300.6,73383000,BRK-B
210,22.Q1,322.8,81868100,BRK-B
211,21.Q4,313.0,109425900,BRK-B
212,21.Q3,287.0,74941700,BRK-B
213,21.Q2,278.3,80595300,BRK-B
214,21.Q1,275.0,84991800,BRK-B
215,20.Q4,227.9,103322000,BRK-B
216,20.Q3,201.9,91607500,BRK-B
217,20.Q2,195.8,125965100,BRK-B
218,20.Q1,187.4,151275200,BRK-B
219,19.Q4,224.4,79813500,BRK-B
220,19.Q3,212.6,78088100,BRK-B
221,19.Q2,205.4,69209000,BRK-B
222,19.Q1,216.7,64254100,BRK-B
223,18.Q4,205.5,99687600,BRK-B
224,18.Q3,205.3,111553000,BRK-B
225,24.Q3,81.9,274951500,WMT
226,24.Q2,68.6,288053200,WMT
227,24.Q1,59.3,304720900,WMT
228,23.Q4,55.1,385322100,WMT
229,23.Q3,54.5,344001900,WMT
230,23.Q2,53.3,272185500,WMT
231,23.Q1,50.3,301894800,WMT
232,22.Q4,48.0,324054600,WMT
233,22.Q3,47.4,350685000,WMT
234,22.Q2,44.0,472936800,WMT
235,22.Q1,51.0,427213500,WMT
236,21.Q4,46.6,497216100,WMT
237,21.Q3,49.8,413998800,WMT
238,21.Q2,47.5,395649300,WMT
239,21.Q1,46.6,459365700,WMT
240,20.Q4,46.8,450488700,WMT
241,20.Q3,46.2,386985000,WMT
242,20.Q2,43.1,592356300,WMT
243,20.Q1,40.5,621479400,WMT
244,19.Q4,38.2,383722500,WMT
245,19.Q3,39.1,289222800,WMT
246,19.Q2,36.8,273860700,WMT
247,19.Q1,34.3,331820700,WMT
248,18.Q4,31.9,482219100,WMT
249,18.Q3,33.4,649263000,WMT
250,24.Q3,829.7,68789500,LLY
251,24.Q2,804.3,72471200,LLY
252,24.Q1,781.1,57412200,LLY
253,23.Q4,645.6,61977700,LLY
254,23.Q3,553.9,71880000,LLY
255,23.Q2,454.5,46830100,LLY
256,23.Q1,395.9,56102100,LLY
257,22.Q4,344.1,50722700,LLY
258,22.Q3,362.1,55840900,LLY
259,22.Q2,329.7,42678300,LLY
260,22.Q1,292.1,58093700,LLY
261,21.Q4,245.4,59949200,LLY
262,21.Q3,254.8,53321100,LLY
263,21.Q2,243.5,50265100,LLY
264,21.Q1,182.8,63358200,LLY
265,20.Q4,208.0,114161400,LLY
266,20.Q3,130.5,87150100,LLY
267,20.Q2,150.3,61880700,LLY
268,20.Q1,154.6,79568600,LLY
269,19.Q4,139.6,76636200,LLY
270,19.Q3,113.9,73066600,LLY
271,19.Q2,108.9,85975300,LLY
272,19.Q1,117.0,117712500,LLY
273,18.Q4,119.9,101289300,LLY
274,18.Q3,108.4,112530300,LLY
275,24.Q3,221.9,178337400,JPM
276,24.Q2,212.8,197445800,JPM
277,24.Q1,191.7,224706700,JPM
278,23.Q4,174.4,231646400,JPM
279,23.Q3,139.1,244010900,JPM
280,23.Q2,158.0,231241600,JPM
281,23.Q1,138.2,242859500,JPM
282,22.Q4,140.0,209965200,JPM
283,22.Q3,125.9,318197200,JPM
284,22.Q2,115.4,239623100,JPM
285,22.Q1,119.4,303650400,JPM
286,21.Q4,148.6,373950200,JPM
287,21.Q3,169.9,231680800,JPM
288,21.Q2,151.8,280571500,JPM
289,21.Q1,153.8,288694200,JPM
290,20.Q4,128.7,318582400,JPM
291,20.Q3,98.0,325366100,JPM
292,20.Q2,96.6,432613400,JPM
293,20.Q1,95.8,531938200,JPM
294,19.Q4,132.4,247990900,JPM
295,19.Q3,124.9,251981600,JPM
296,19.Q2,116.0,232008700,JPM
297,19.Q1,116.1,252516300,JPM
298,18.Q4,103.5,325890900,JPM
299,18.Q3,109.0,433042000,JPM
300,24.Q3,289.9,128709800,V
301,24.Q2,265.7,163924200,V
302,24.Q1,268.6,147835100,V
303,23.Q4,273.3,120403600,V
304,23.Q3,235.1,129129800,V
305,23.Q2,237.7,113725300,V
306,23.Q1,232.7,119559700,V
307,22.Q4,230.2,127618800,V
308,22.Q3,207.2,160725600,V
309,22.Q2,212.1,118583600,V
310,22.Q1,213.1,151953800,V
311,21.Q4,226.2,224953600,V
312,21.Q3,211.8,170233200,V
313,21.Q2,246.4,157826600,V
314,21.Q1,233.6,152922100,V
315,20.Q4,193.2,198372600,V
316,20.Q3,181.7,172165200,V
317,20.Q2,190.4,168892100,V
318,20.Q1,178.7,263788900,V
319,19.Q4,199.0,184029800,V
320,19.Q3,178.9,161724400,V
321,19.Q2,178.0,126711100,V
322,19.Q1,164.4,136485800,V
323,18.Q4,135.0,193201600,V
324,18.Q3,137.9,254090900,V
325,24.Q3,499.6,52687100,MA
326,24.Q2,463.7,59950200,MA
327,24.Q1,451.2,51026600,MA
328,23.Q4,449.2,54258500,MA
329,23.Q3,376.4,59702400,MA
330,23.Q2,394.3,50763400,MA
331,23.Q1,380.0,47173000,MA
332,22.Q4,370.6,65445900,MA
333,22.Q3,328.2,68693000,MA
334,22.Q2,353.8,51925000,MA
335,22.Q1,363.4,68859400,MA
336,21.Q4,386.4,115507500,MA
337,21.Q3,335.5,89789300,MA
338,21.Q2,385.9,70855000,MA
339,21.Q1,382.1,63236700,MA
340,20.Q4,316.3,94859600,MA
341,20.Q3,288.6,83276200,MA
342,20.Q2,308.5,81675000,MA
343,20.Q1,275.0,140482900,MA
344,19.Q4,315.9,81406300,MA
345,19.Q3,276.8,79524900,MA
346,19.Q2,272.3,62239000,MA
347,19.Q1,254.2,65395900,MA
348,18.Q4,211.1,90416500,MA
349,18.Q3,197.7,126423600,MA
350,24.Q3,167.8,134383400,ORCL
351,24.Q2,139.4,151095800,ORCL
352,24.Q1,113.8,135784600,ORCL
353,23.Q4,111.7,171085200,ORCL
354,23.Q3,103.4,164664600,ORCL
355,23.Q2,117.2,156281600,ORCL
356,23.Q1,94.7,130420000,ORCL
357,22.Q4,88.5,135703000,ORCL
358,22.Q3,78.1,200166600,ORCL
359,22.Q2,77.8,126241100,ORCL
360,22.Q1,73.4,131271700,ORCL
361,21.Q4,81.2,200574800,ORCL
362,21.Q3,95.9,177718200,ORCL
363,21.Q2,87.1,278074100,ORCL
364,21.Q1,75.8,274747400,ORCL
365,20.Q4,60.4,173094700,ORCL
366,20.Q3,56.1,209801500,ORCL
367,20.Q2,55.5,274222800,ORCL
368,20.Q1,53.0,261549600,ORCL
369,19.Q4,52.5,201231600,ORCL
370,19.Q3,54.5,250748900,ORCL
371,19.Q2,56.3,251453400,ORCL
372,19.Q1,55.3,193506500,ORCL
373,18.Q4,50.2,324808100,ORCL
374,18.Q3,48.8,444353400,ORCL
375,24.Q3,116.8,302678700,XOM
376,24.Q2,118.6,277953800,XOM
377,24.Q1,118.3,385710200,XOM
378,23.Q4,102.8,413171900,XOM
379,23.Q3,105.8,493930700,XOM
380,23.Q2,107.2,350338600,XOM
381,23.Q1,118.3,293288800,XOM
382,22.Q4,116.0,329848000,XOM
383,22.Q3,110.8,431618500,XOM
384,22.Q2,96.9,427905800,XOM
385,22.Q1,85.2,505627700,XOM
386,21.Q4,76.0,608287500,XOM
387,21.Q3,64.5,435214600,XOM
388,21.Q2,57.6,435901400,XOM
389,21.Q1,57.2,457851400,XOM
390,20.Q4,44.8,594784100,XOM
