ticker
AAPL
NVDA
MSFT
AMZN
GOOGL
META
TSLA
AVGO
BRK.B
WMT
LLY
JPM
V
MA
ORCL
XOM
UNH
COST
PG
HD
NFLX
JNJ
BAC
CRM
ABBV
KO
CVX
TMUS
MRK
WFC
CSCO
NOW
AXP
MCD
PEP
IBM
DIS
TMO
MS
ABT
ADBE
AMD
PM
ISRG
GE
INTU
GS
CAT
TXN
QCOM
VZ
BKNG
DHR
T
BLK
RTX
SPGI
PFE
HON
NEE
CMCSA
ANET
BX
PANW
ADP
DE
FI
BMY
LMT
GILD
NKE
BA
COP
UPS
ADI
MMC
VRTX
MU
SBUX
MRVL
APO
PLD
LRCX
MO
SO
EQIX
CRWD
PYPL
MSTR
SHW
ICE
CME
AMT
APH
ELV
MCO
CMG
INTC
KLAC
DUK
PH
CDNS
WM
DELL
MDLZ
MAR
MSI
WELL
REGN
CI
HCA
PNC
ITW
SNPS
CTAS
CL
USB
FTNT
ZTS
IBKR
MCK
SCCO
WDAY
GD
TDG
AJG
EMR
MMM
ORLY
NOC
COF
ECL
EPD
TEAM
EOG
FDX
BDX
APD
WMB
ET
RCL
ADSK
RSG
TTD
CARR
CSX
HLT
TGT
KMI
DLR
OKE
TFC
AFL
GM
BK
ROP
MET
CPRT
SPG
FCX
CVS
SQ
PCAR
ARES
AZO
SRE
TRV
GWW
NSC
PSA
PCG
AMP
ALL
FICO
DDOG
MNST
PAYX
CHTR
AEP
ROST
PWR
CMI
MPLX
AXON
VST
URI
MSCI
LNG
CVNA
O
PSX
AIG
FANG
D
VRT
HWM
DHI
KR
NDAQ
OXY
EW
COR
KDP
FIS
KMB
NEM
DFS
MPC
FAST
AME
PEG
PRU
STZ
GLW
LHX
BKR
CBRE
CTVA
HES
CCI
DAL
CTSH
F
VRSK
EA
ODFL
XEL
NET
A
TRGP
IT
LVS
SYY
VLO
LEN
OTIS
EXC
IR
HUBS
YUM
KHC
VEEV
IQV
DKNG
GIS
RMD
VMC
HSY
IDXX
WAB
HEI
ROK
MLM
DD
ETR
DECK
EFX
UAL
TTWO
HIG
ALNY
RJF
AVB
MTB
TW
DXCM
ED
EXR
EBAY
LYV
CCL
HPQ
IRM
EIX
VICI
CNC
WEC
MCHP
FCNCA
HUM
ANSS
BRO
CSGP
MPWR
GDDY
TSCO
STT
FITB
ZS
CAH
GPN
XYL
HPE
KEYS
DOW
ON
PPG
K
NUE
EQR
EL
BR
ZM
WBD
TPL
CHD
MTD
DOV
TYL
FTV
TROW
EQT
SYF
NVR
CQP
DTE
VTR
LPLA
AWK
ADM
NTAP
WST
CPAY
PPL
LYB
AEE
EXPE
HBAN
RKT
CDW
FE
HUBB
HAL
ROL
PHM
FOXA
WSM
CINF
PTC
LII
WRB
MKL
DRI
IFF
SBAC
WAT
TDY
ATO
RF
ILMN
EME
NTRA
BIIB
ZBH
CNP
MKC
PSTG
ES
WDC
UI
TSN
TER
PKG
CLX
NTRS
ZBRA
DVN
WY
LUV
ULTA
PINS
CMS
INVH
WSO
FSLR
BF.B
LDOS
ERIE
CFG
LH
SNAP
VRSN
DOCU
IP
SSNC
PODD
COO
TRU
FDS
NRG
MDB
BBY
ESS
L
BURL
SNA
CG
MAA
DKS
PFG
SMCI
STLD
TRMB
CTRA
NTNX
HRL
OMC
ARE
BLDR
ZG
JBHT
GEN
CSL
MANH
DGX
KEY
NI
MOH
J
DG
BAH
BALL
TWLO
DT
HOLX
JBL
WMG
RPM
GPC
IEX
UTHR
MAS
NWSA
KIM
USFD
ALGN
SUI
XPO
DLTR
JEF
FIX
EXPD
FNF
H
MRNA
LNT
AVY
COHR
BAX
ENTG
CASY
TPR
VTRS
CF
FFIV
DPZ
GWRE
RPRX
WES
MORN
EQH
WLK
RS
OC
AVTR
AKAM
UDR
ACM
GGG
RL
OKTA
TXT
SWKS
EVRG
EPAM
DOC
UHAL
ARCC
CHWY
NBIX
RVTY
FTAI
RGA
AMH
CW
REG
