Stock Name,Ticker,Market Cap,Exchange,Country,Sector,Industry
ConocoPhillips,COP,"$109,475",NYSE,United States,Oils/Energy,Oil & Gas - US Integrated
UPS,UPS,"$107,251",NYSE,United States,Transportation,Transportation - Air Freight
Analog Devices,ADI,"$105,106",NASDAQ,United States,Computer and Technology,Semiconductor - Analog & Mixed
Marsh & McLennan,MMC,"$103,990",NYSE,United States,Finance,Insurance Brokers
Vertex Pharmaceuticals,VRTX,"$102,309",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Micron Technology,MU,"$100,409",NASDAQ,United States,Computer and Technology,Computers - Integrated Systems
Starbucks,SBUX,"$99,740",NASDAQ,United States,Retail/Wholesale,Retail - Food & Restaurants
Marvell Technology,MRVL,"$96,827",NASDAQ,United States,Computer and Technology,Semiconductors
Apollo Global Management,APO,"$96,772",NYSE,United States,Finance,Finance - Investment Management
Prologis,PLD,"$95,692",NYSE,United States,Finance,REIT - Other Equity Trusts
Lam Research,LRCX,"$92,371",NASDAQ,United States,Computer and Technology,Semiconductors
Altria,MO,"$91,249",NYSE,United States,Consumer Staples,Tobacco Products
Southern,SO,"$90,788",NYSE,United States,Utilities,Utility - Electric Power Distribution
Equinix,EQIX,"$89,466",NASDAQ,United States,Finance,REIT - Retail Equity Trusts
CrowdStrike,CRWD,"$89,236",NASDAQ,United States,Computer and Technology,Internet Software
PayPal Holdings,PYPL,"$87,351",NASDAQ,United States,Computer and Technology,Internet Software
MicroStrategy,MSTR,"$87,279",NASDAQ,United States,Computer and Technology,Computer Software
Sherwin-Williams,SHW,"$87,008",NYSE,United States,Basic Materials,Chemicals - Specialty
Intercontinental Exchange,ICE,"$86,304",NYSE,United States,Finance,Securities Exchanges
CME Group,CME,"$85,957",NASDAQ,United States,Finance,Securities Exchanges
American Tower,AMT,"$85,855",NYSE,United States,Finance,REIT - Other Equity Trusts
Amphenol,APH,"$85,092",NYSE,United States,Computer and Technology,Electrical Connectors
Elevance Health,ELV,"$84,874",NYSE,United States,Medical,Medical Services
Moody's,MCO,"$84,503",NYSE,United States,Finance,Finance - Miscellaneous Services
Chipotle Mexican Grill,CMG,"$84,304",NYSE,United States,Retail/Wholesale,Retail - Food & Restaurants
Intel,INTC,"$84,190",NASDAQ,United States,Computer and Technology,Semiconductor - General
KLA,KLAC,"$84,184",NASDAQ,United States,Computer and Technology,Electrical Products - Miscellaneous
Duke Energy,DUK,"$83,644",NYSE,United States,Utilities,Utility - Electric Power Distribution
Parker-Hannifin,PH,"$83,308",NYSE,United States,Industrial Products,General Industrial Machinery
Cadence Design Systems,CDNS,"$82,682",NASDAQ,United States,Computer and Technology,Computer Software
Waste Management,WM,"$82,613",NYSE,United States,Business Services,Waste Removal Services
Dell,DELL,"$81,092",NYSE,United States,Computer and Technology,Computer - Microcomputers
Mondelez,MDLZ,"$79,416",NASDAQ,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
Marriott,MAR,"$78,911",NASDAQ,United States,Consumer Discretionary,Hotels & Motels
Motorola Solutions,MSI,"$78,537",NYSE,United States,Computer and Technology,Wireless Equipment Manufacturers
Welltower,WELL,"$77,612",NYSE,United States,Finance,REIT - Other Equity Trusts
Regeneron Pharmaceuticals,REGN,"$77,126",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Cigna Group,CI,"$77,026",NYSE,United States,Medical,Medical - Health Maintenance Organizations
HCA Healthcare,HCA,"$76,906",NYSE,United States,Medical,Medical - Hospitals
PNC Financial Services,PNC,"$76,484",NYSE,United States,Finance,Finance - Investment Banks
Illinois Tool Works,ITW,"$76,430",NYSE,United States,Industrial Products,General Industrial Machinery
Synopsys,SNPS,"$76,080",NASDAQ,United States,Computer and Technology,Computer Software
Cintas,CTAS,"$75,393",NASDAQ,United States,Business Services,Business Services
Colgate-Palmolive,CL,"$75,190",NYSE,United States,Consumer Staples,Consumer Products - Misc. Discretionary
U.S Bancorp,USB,"$74,757",NYSE,United States,Finance,Banks - Major Regional
Fortinet,FTNT,"$74,492",NASDAQ,United States,Computer and Technology,Internet Software
Zoetis,ZTS,"$74,370",NYSE,United States,Medical,Medical - Drug Manufacturing
Interactive Brokers,IBKR,"$74,330",NASDAQ,United States,Finance,Finance - Investment Banks
McKesson,MCK,"$73,592",NYSE,United States,Medical,Medical & Dental Supplies
Southern Copper,SCCO,"$73,063",NYSE,United States,Basic Materials,Mining - Non-Ferrous
Workday,WDAY,"$72,629",NASDAQ,United States,Computer and Technology,Internet Software
General Dynamics,GD,"$72,493",NYSE,United States,Aerospace,Aerospace and Defense General
Transdigm Group,TDG,"$71,758",NYSE,United States,Aerospace,Aerospace and Defense Equipment
Arthur J Gallagher,AJG,"$70,719",NYSE,United States,Finance,Insurance Brokers
Emerson Electric,EMR,"$70,673",NYSE,United States,Industrial Products,Electrical Machinery
3M,MMM,"$70,401",NYSE,United States,Multi-Sector Conglomerates,Diversified Operations
O'Reilly Automotive,ORLY,"$70,380",NASDAQ,United States,Retail/Wholesale,Retail & Wholesale Auto Parts
Northrop Grumman,NOC,"$68,410",NYSE,United States,Aerospace,Aerospace and Defense General
Capital One Financial,COF,"$68,157",NYSE,United States,Finance,Finance - Consumer Loands
Ecolab,ECL,"$67,475",NYSE,United States,Basic Materials,Chemicals - Specialty
Enterprise Products Partners,EPD,"$67,173",NYSE,United States,Oils/Energy,Oil & Gas - Production and Pipelines MLP
Atlassian,TEAM,"$66,999",NASDAQ,United States,Computer and Technology,Internet Software
EOG Resources,EOG,"$66,954",NYSE,United States,Oils/Energy,Oil & Gas - US Exploration and Production
FedEx,FDX,"$66,410",NYSE,United States,Transportation,Transportation - Air Freight
Becton Dickinson,BDX,"$66,029",NYSE,United States,Medical,Medical & Dental Supplies
Air Products And Chemicals,APD,"$65,601",NYSE,United States,Basic Materials,Chemicals - Diversified
Williams,WMB,"$65,205",NYSE,United States,Oils/Energy,Oil & Gas - Production and Pipelines
Energy Transfer LP,ET,"$64,575",NYSE,United States,Oils/Energy,Oil & Gas - Production and Pipelines MLP
Royal Caribbean Cruises,RCL,"$64,108",NYSE,United States,Consumer Discretionary,Leisure & Recreation Services
Autodesk,ADSK,"$64,096",NASDAQ,United States,Computer and Technology,Computer Software
Republic Services,RSG,"$63,798",NYSE,United States,Business Services,Waste Removal Services
Trade Desk,TTD,"$61,702",NASDAQ,United States,Computer and Technology,Internet Services
Carrier Global,CARR,"$61,451",NYSE,United States,Computer and Technology,Electrical Products - Miscellaneous
CSX,CSX,"$61,420",NASDAQ,United States,Transportation,Transportation - Rail
Hilton Worldwide Holdings,HLT,"$60,804",NYSE,United States,Consumer Discretionary,Hotels & Motels
Target,TGT,"$60,246",NYSE,United States,Retail/Wholesale,Retail - Discount & Variety
Kinder Morgan,KMI,"$59,651",NYSE,United States,Oils/Energy,Oil & Gas - Production and Pipelines
Digital Realty Trust,DLR,"$59,234",NYSE,United States,Finance,REIT - Other Equity Trusts
ONEOK,OKE,"$58,465",NYSE,United States,Oils/Energy,Oil & Gas - Production and Pipelines MLP
Truist Financial,TFC,"$57,508",NYSE,United States,Finance,Banks - Major Regional
Aflac,AFL,"$57,047",NYSE,United States,Finance,Insurance - Accident & Health
General Motors,GM,"$56,970",NYSE,United States,Auto/Tires/Trucks,Auto Manufacturers - Domestic
Bank Of New York Mellon,BK,"$56,436",NYSE,United States,Finance,Banks - Major Regional
Roper Technologies,ROP,"$56,338",NASDAQ,United States,Computer and Technology,Information Technology Services
MetLife,MET,"$56,335",NYSE,United States,Finance,Multi-Line Insurance Providers
Copart,CPRT,"$56,097",NASDAQ,United States,Business Services,Auction & Valuation Services
Simon Property,SPG,"$55,993",NYSE,United States,Finance,REIT - Retail Equity Trusts
Freeport-McMoRan,FCX,"$55,839",NYSE,United States,Basic Materials,Mining - Non-Ferrous
CVS Health,CVS,"$55,823",NYSE,United States,Retail/Wholesale,Retail - Drug Stores
Block,SQ,"$55,566",NYSE,United States,Business Services,Technology Services
PACCAR,PCAR,"$55,219",NASDAQ,United States,Auto/Tires/Trucks,Auto Manufacturers - Domestic
Ares Management,ARES,"$55,110",NYSE,United States,Finance,Finance - Investment Management
AutoZone,AZO,"$54,998",NYSE,United States,Retail/Wholesale,Retail & Wholesale Auto Parts
Sempra Energy,SRE,"$54,985",NYSE,United States,Utilities,Utility - Natural Gas Distribution
Travelers,TRV,"$54,657",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
W.W Grainger,GWW,"$53,227",NYSE,United States,Industrial Products,Industrial Services
Norfolk Southern,NSC,"$52,974",NYSE,United States,Transportation,Transportation - Rail
Public Storage,PSA,"$52,095",NYSE,United States,Finance,REIT - Other Equity Trusts
Pacific Gas & Electric,PCG,"$51,835",NYSE,United States,Utilities,Utility - Electric Power Distribution
Ameriprise Financial,AMP,"$51,623",NYSE,United States,Finance,Finance - Investment Management
Allstate,ALL,"$51,255",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
Fair Isaac,FICO,"$50,911",NYSE,United States,Computer and Technology,Information Technology Services
Datadog,DDOG,"$50,775",NASDAQ,United States,Computer and Technology,Internet Software
Monster Beverage,MNST,"$50,299",NASDAQ,United States,Consumer Staples,Beverages - Soft Drinks
Paychex,PAYX,"$50,243",NASDAQ,United States,Business Services,Outsourcing Services
Charter Communications,CHTR,"$49,982",NASDAQ,United States,Consumer Discretionary,Cable TV Providers
American Electric Power,AEP,"$49,354",NASDAQ,United States,Utilities,Utility - Electric Power Distribution
Ross Stores,ROST,"$49,209",NASDAQ,United States,Retail/Wholesale,Retail - Discount & Variety
Quanta Services,PWR,"$48,477",NYSE,United States,Construction,Engineering - Research & Development Services
Cummins,CMI,"$48,203",NYSE,United States,Auto/Tires/Trucks,Internal Combustion Engines
MPLX LP,MPLX,"$48,169",NYSE,United States,Oils/Energy,Oil & Gas - Production and Pipelines
Axon Enterprise,AXON,"$48,169",NASDAQ,United States,Aerospace,Aerospace and Defense Equipment
Vistra,VST,"$47,615",NYSE,United States,Utilities,Utility - Electric Power Distribution
United Rentals,URI,"$47,421",NYSE,United States,Construction,Building & Construction Products - Misc.
MSCI Inc,MSCI,"$47,399",NYSE,United States,Finance,Finance - Investment Management
Cheniere Energy,LNG,"$46,868",NYSE,United States,Oils/Energy,Oil & Gas - US Exploration and Production
Carvana,CVNA,"$46,605",NYSE,United States,Retail/Wholesale,Internet Commerce
Realty Income,O,"$46,202",NYSE,United States,Finance,REIT - Retail Equity Trusts
Phillips 66,PSX,"$45,582",NYSE,United States,Oils/Energy,Oil Refining & Marketing
American,AIG,"$45,342",NYSE,United States,Finance,Multi-Line Insurance Providers
Diamondback Energy,FANG,"$45,241",NASDAQ,United States,Oils/Energy,Oil & Gas - US Exploration and Production
Dominion Energy,D,"$45,075",NYSE,United States,Utilities,Utility - Electric Power Distribution
Vertiv Holdings,VRT,"$45,055",NYSE,United States,Computer and Technology,Information Technology Services
Howmet Aerospace,HWM,"$45,026",NYSE,United States,Aerospace,Aerospace and Defense General
D.R Horton,DHI,"$44,791",NYSE,United States,Construction,Building - Residential and Commercial
Kroger,KR,"$44,755",NYSE,United States,Retail/Wholesale,Retail - Supermarket Chains
Nasdaq,NDAQ,"$44,659",NASDAQ,United States,Finance,Securities Exchanges
Occidental Petroleum,OXY,"$44,224",NYSE,United States,Oils/Energy,Oil & Gas - US Integrated
Edwards Lifesciences,EW,"$44,123",NYSE,United States,Medical,Medical Instruments Manufacturing
Cencora,COR,"$44,008",NYSE,United States,Medical,Medical Services
Keurig Dr Pepper,KDP,"$43,908",NASDAQ,United States,Consumer Staples,Beverages - Soft Drinks
Fidelity National Information Services,FIS,"$43,854",NYSE,United States,Business Services,Financial Transaction Services
Kimberly-Clark,KMB,"$43,793",NYSE,United States,Consumer Staples,Consumer Products - Misc. Discretionary
Newmont,NEM,"$43,580",NYSE,United States,Basic Materials,Gold Miners
Discover Financial Services,DFS,"$43,476",NYSE,United States,Finance,Finance - Consumer Loands
Marathon Petroleum,MPC,"$42,867",NYSE,United States,Oils/Energy,Oil Refining & Marketing
Fastenal,FAST,"$42,863",NASDAQ,United States,Retail/Wholesale,Building Products - Retail & Wholesale
AMETEK,AME,"$42,413",NYSE,United States,Computer and Technology,Electrical Test Equipment
Public Service Enterprise Group,PEG,"$42,379",NYSE,United States,Utilities,Utility - Electric Power Distribution
Prudential Financial,PRU,"$41,947",NYSE,United States,Finance,Multi-Line Insurance Providers
Constellation Brands Inc,STZ,"$41,329",NYSE,United States,Consumer Staples,Alcoholic Beverages
Corning,GLW,"$40,507",NYSE,United States,Computer and Technology,Communication Components Manufacturers
L3Harris Technologies Inc,LHX,"$40,504",NYSE,United States,Aerospace,Aerospace and Defense General
Baker Hughes,BKR,"$39,898",NASDAQ,United States,Oils/Energy,Oil & Gas - Field Services
CBRE,CBRE,"$39,525",NYSE,United States,Finance,Real Estate Operations
Corteva,CTVA,"$39,506",NYSE,United States,Consumer Staples,Agricultural Operations
Hess,HES,"$39,498",NYSE,United States,Oils/Energy,Oil & Gas - US Integrated
Crown Castle,CCI,"$39,401",NYSE,United States,Finance,REIT - Other Equity Trusts
Delta Air Lines,DAL,"$39,317",NYSE,United States,Transportation,Transportation - Airlines
Cognizant Technology Solutions,CTSH,"$39,284",NASDAQ,United States,Computer and Technology,Business Software Services
Ford Motor,F,"$39,266",NYSE,United States,Auto/Tires/Trucks,Auto Manufacturers - Domestic
Verisk Analytics,VRSK,"$39,096",NASDAQ,United States,Business Services,Business Information Services
Electronic Arts,EA,"$38,764",NASDAQ,United States,Consumer Discretionary,Gaming
Old Dominion Freight Line,ODFL,"$38,722",NASDAQ,United States,Transportation,Transportation - Truck
Xcel Energy,XEL,"$38,704",NASDAQ,United States,Utilities,Utility - Electric Power Distribution
Cloudflare,NET,"$38,675",NYSE,United States,Computer and Technology,Internet Software
Agilent Technologies,A,"$38,648",NYSE,United States,Computer and Technology,Electrical Test Equipment
Targa Resources,TRGP,"$38,551",NYSE,United States,Oils/Energy,Oil Refining & Marketing MLP
Gartner,IT,"$37,892",NYSE,United States,Business Services,Consulting Services
Las Vegas Sands,LVS,"$37,883",NYSE,United States,Consumer Discretionary,Gaming
Sysco,SYY,"$37,810",NYSE,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
Valero Energy,VLO,"$37,544",NYSE,United States,Oils/Energy,Oil Refining & Marketing
Lennar,LEN,"$37,453",NYSE,United States,Construction,Building - Residential and Commercial
Otis Worldwide,OTIS,"$37,374",NYSE,United States,Construction,Building & Construction Products - Misc.
Exelon,EXC,"$37,199",NASDAQ,United States,Utilities,Utility - Electric Power Distribution
Ingersoll Rand,IR,"$37,190",NYSE,United States,Industrial Products,General Industrial Machinery
HubSpot,HUBS,"$37,117",NYSE,United States,Computer and Technology,Internet Software
Yum! Brands,YUM,"$36,938",NYSE,United States,Retail/Wholesale,Retail - Food & Restaurants
Kraft Heinz,KHC,"$36,904",NASDAQ,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
Veeva Systems,VEEV,"$36,391",NYSE,United States,Computer and Technology,Internet Software
IQVIA Holdings,IQV,"$35,805",NYSE,United States,Medical,Medical Instruments Manufacturing
DraftKings,DKNG,"$35,534",NASDAQ,United States,Consumer Discretionary,Gaming
General Mills,GIS,"$35,064",NYSE,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
ResMed,RMD,"$34,830",NYSE,United States,Medical,Medical Products Manufacturing
Vulcan Materials,VMC,"$34,749",NYSE,United States,Construction,"Building - Cement, Concrete and Aggregates"
Hershey,HSY,"$34,453",NYSE,United States,Consumer Staples,Food Items - Confectionery
IDEXX Laboratories,IDXX,"$33,758",NASDAQ,United States,Medical,Medical Instruments Manufacturing
