,Ticker,Quarter,EPS,BPS,PER,PBR,ROE,ROA,ROIC,Debt_ratio,매출액,영업이익,순이익,자산총액,부채총액,자본총액,영업활동,투자활동,재무활동,금리,금리등락률,GDP,GDP등락률,유가,유가등락률,S&P500,close,volume,Market Cap,Sector,index
21,AAPL,19.Q2,2.94,5.28,16.35,9.44,52.10,15.9,21.70,234.10,"53,809","11,544","10,044","322,239","225,783","96,456","11,636","27,502","-26,804",2.5,0.0,2.4,-0.1,66.7,3.6,293.0,53.3,1895406800.0,"$3,846,826",Computer and Technology,0.0
22,AAPL,19.Q1,2.98,5.66,15.67,8.46,51.30,16.0,21.20,223.10,"58,015","13,415","11,561","341,998","236,138","105,860","11,155","13,348","-29,457",2.5,0.0,2.5,1.9,63.1,-1.93,282.48,50.2,2024470800.0,"$3,846,826",Computer and Technology,0.0
23,AAPL,18.Q4,3.05,6.22,12.48,6.29,50.90,16.3,21.30,217.00,"84,310","23,346","19,965","373,719","255,827","117,892","26,690","5,844","-13,676",2.5,0.25,0.6,-1.9,65.03,-8.73,249.92,41.6,3312349600.0,"$3,846,826",Computer and Technology,0.0
24,AAPL,18.Q3,2.98,5.41,18.32,10.18,48.70,16.0,21.50,241.30,"62,900","16,118","14,125","365,725","258,578","107,147","19,523","-3,001","-22,580",2.25,0.0,2.5,0.0,73.76,0.0,290.72,54.7,3158994000.0,"$3,846,826",Computer and Technology,0.0
25,NVDA,24.Q4,2.54,2.69,55.05,52.69,116.70,77.9,114.90,45.70,"35,082","21,869","19,309","96,013","30,114","65,899","17,627","-4,346","-12,745",5.25,-0.25,3.1,0.1,84.0,-1.26,562.01,,,"$3,298,803",Computer and Technology,1.0
26,NVDA,24.Q3,2.13,2.37,52.47,47.82,115.50,75.1,109.40,46.50,"30,040","18,642","16,599","85,227","27,070","58,157","14,488","-3,184","-10,320",5.5,0.0,3.0,1.4,85.26,3.96,534.01,132.8,5627917200.0,"$3,298,803",Computer and Technology,1.0
27,NVDA,24.Q2,1.71,2.00,51.49,44.63,111.40,69.1,100.30,56.80,"26,044","16,909","14,881","77,072","27,930","49,142","15,345","-5,693","-9,345",5.5,0.0,1.6,-1.6,81.3,-2.24,521.21,117.0,6405438600.0,"$3,298,803",Computer and Technology,1.0
28,NVDA,24.Q1,1.19,1.74,50.65,35.08,92.80,55.7,78.30,52.90,"22,103","13,614","12,285","65,728","22,750","42,978","11,499","-6,109","-3,629",5.5,0.0,3.2,-1.2,83.54,-3.18,469.33,86.4,10074181000.0,"$3,298,803",Computer and Technology,1.0
29,NVDA,23.Q4,0.76,1.35,52.96,30.07,70.40,39.9,53.80,62.80,"18,120","10,417","9,243","54,148","20,883","33,265","7,332","-3,170","-4,525",5.5,0.25,4.4,2.0,86.72,8.92,443.37,61.5,9706237000.0,"$3,298,803",Computer and Technology,1.0
30,NVDA,23.Q3,0.42,1.11,111.84,41.99,43.30,23.5,30.30,80.20,"13,507","6,800","6,188","49,555","22,054","27,501","6,348",-446,"-5,099",5.25,2.5,2.4,-0.4,77.8,-2.55,493.28,40.8,10141101000.0,"$3,298,803",Computer and Technology,1.0
31,NVDA,23.Q2,0.19,0.99,143.00,27.95,20.90,11.3,13.00,81.30,"7,192","2,140","2,043","44,460","19,940","24,520","2,911",-841,-380,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91,46.7,8706845000.0,"$3,298,803",Computer and Technology,1.0
32,NVDA,23.Q1,0.17,0.89,114.69,22.67,18.70,10.3,11.70,86.30,"6,051","1,256","1,414","41,182","19,081","22,101","2,248",-3,"-1,656",4.5,2.0,3.4,0.7,84.88,-12.03,393.28,27.7,7436450000.0,"$3,298,803",Computer and Technology,1.0
33,NVDA,22.Q4,0.24,0.86,57.83,16.14,24.30,13.7,15.20,89.60,"5,931",601,680,"40,488","19,139","21,349",392,"3,148","-3,753",2.5,0.75,2.7,2.4,96.91,-11.17,406.6,19.5,9454960000.0,"$3,298,803",Computer and Technology,1.0
34,NVDA,22.Q3,0.31,0.96,58.66,19.04,30.80,17.8,19.80,82.30,"6,704",499,656,"43,476","19,625","23,851","1,270","1,618","-3,762",1.75,1.25,0.3,1.3,108.08,12.49,389.8,13.5,12549277000.0,"$3,298,803",Computer and Technology,1.0
35,NVDA,22.Q2,0.37,1.05,49.22,17.69,38.70,22.4,25.00,71.80,"8,288","1,868","1,618","45,212","18,892","26,320","1,731","2,612","-2,446",0.5,0.25,-1.0,-8.4,95.59,15.59,4.09,18.2,10564476000.0,"$3,298,803",Computer and Technology,1.0
36,NVDA,22.Q1,0.39,1.07,58.60,21.47,43.20,25.3,28.10,66.00,"7,643","2,970","3,003","44,187","17,575","26,612","3,033","-1,586",-745,0.25,0.0,7.4,3.9,80.0,10.0,453.42,18.5,11114390000.0,"$3,298,803",Computer and Technology,1.0
37,NVDA,21.Q4,0.33,0.95,77.76,26.82,40.70,23.6,27.70,70.70,"7,103","2,671","2,464","40,632","16,834","23,798","1,519","-4,439","-1,420",0.25,0.0,3.5,-2.9,70.0,4.0,453.08,24.5,10682164000.0,"$3,298,803",Computer and Technology,1.0
38,NVDA,21.Q3,0.28,0.85,68.64,22.98,39.20,22.6,27.90,82.80,"6,507","2,444","2,374","38,650","17,503","21,147","2,682","-2,533","4,501",0.25,0.0,6.4,0.8,66.0,6.0,422.6,25.6,4971078000.0,"$3,298,803",Computer and Technology,1.0
39,NVDA,21.Q2,0.21,0.76,69.88,19.83,32.80,19.1,24.50,64.00,"5,661","1,956","1,912","30,796","12,022","18,774","1,874","-1,272",-471,0.25,0.0,5.6,1.2,60.0,14.5,383.63,19.5,7823077000.0,"$3,298,803",Computer and Technology,1.0
40,NVDA,21.Q1,0.17,0.69,74.24,19.04,29.30,16.6,23.30,70.40,"5,003","1,507","1,457","28,791","11,898","16,893","2,067","-3,129",-342,0.25,0.0,4.4,-30.8,45.5,2.6,369.85,15.0,6718796000.0,"$3,298,803",Computer and Technology,1.0
41,NVDA,20.Q4,0.15,0.62,87.67,21.87,28.10,16.5,27.00,75.30,"4,726","1,398","1,336","26,881","11,547","15,334","1,279","-2,001",-301,0.25,0.0,35.2,63.9,42.9,12.4,342.57,13.0,6154172000.0,"$3,298,803",Computer and Technology,1.0
42,NVDA,20.Q3,0.14,0.57,74.00,18.02,26.90,16.6,32.20,81.00,"3,866",651,622,"25,180","11,266","13,914","1,567","-13,490",-297,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34,12.5,8022356000.0,"$3,298,803",Computer and Technology,1.0
43,NVDA,20.Q2,0.13,0.53,53.40,13.53,28.30,18.7,43.10,77.50,"3,080",976,917,"23,254","10,155","13,099",909,"-1,055","4,744",1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46,10.6,8094452000.0,"$3,298,803",Computer and Technology,1.0
44,NVDA,20.Q1,0.11,0.50,54.83,12.56,25.70,18.1,36.70,41.90,"3,105",990,951,"17,315","5,111","12,204","1,465",-151,-183,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41,7.3,11278304000.0,"$3,298,803",Computer and Technology,1.0
45,NVDA,19.Q4,0.1,0.46,51.67,11.11,23.80,16.7,24.00,41.00,"3,014",927,899,"15,810","4,596","11,214","1,640","1,256",-236,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12,5.9,6125412000.0,"$3,298,803",Computer and Technology,1.0
46,NVDA,19.Q3,0.11,0.42,38.88,10.32,28.20,19.7,21.70,42.90,"2,579",571,552,"14,775","4,439","10,336",936,"3,545",-148,2.5,0.0,2.4,-0.1,66.7,3.6,293.0,5.0,7696172000.0,"$3,298,803",Computer and Technology,1.0
47,NVDA,19.Q2,0.13,0.40,32.79,11.12,35.30,24.4,24.70,44.50,"2,220",358,394,"14,021","4,317","9,704",720,"1,495",-225,2.5,0.0,2.5,1.9,63.1,-1.93,282.48,4.2,8415984000.0,"$3,298,803",Computer and Technology,1.0
