Ticker,Quarter,매출액,영업이익,순이익,자산총액,부채총액,자본총액,영업활동,투자활동,재무활동
KDP,22.09/30,"3,622",394,180,"51,440","26,339","25,102",759,-82,-294
KDP,22.06/30,"3,554",572,218,"51,428","26,037","25,391",676,-134,-577
KDP,22.03/31,"3,078",966,585,"51,244","25,733","25,511",663,3,-644
KDP,21.12/31,"3,391",725,843,"50,598","25,626","24,972",941,560,"-1,132"
KDP,21.09/30,"3,250",795,530,"50,330","25,925","24,405",794,-150,-602
KDP,21.06/30,"3,140",734,448,"50,344","26,101","24,242",593,-101,-673
KDP,21.03/31,"2,902",640,325,"50,403","26,332","24,070",546,-99,-355
KDP,20.12/31,"3,121",700,428,"49,779","25,949","23,829",790,-134,-624
KDP,20.09/30,"3,020",753,443,"49,381","26,084","23,296",604,-90,-465
KDP,20.06/30,"2,864",561,298,"49,026","26,103","22,923",648,-126,-573
KDP,20.03/31,"2,613",466,156,"48,843","26,203","22,640",414,34,-328
KDP,19.12/31,"2,934",713,406,"49,518","26,261","23,257",671,66,-738
KDP,19.09/30,"2,870",580,304,"49,400","26,486","22,914",600,-102,-546
KDP,19.06/30,"2,812",587,314,"49,547","26,664","22,883",612,-69,-524
KDP,19.03/31,"2,504",498,230,"49,291","26,617","22,674",591,-45,-556
KDP,18.12/31,"2,813",547,266,"48,918","26,385","22,533",550,-61,-507
KDP,18.09/30,"2,732",345,149,"49,058","26,765","22,293",485,"-18,990","10,394"
FIS,24.09/30,"2,570",490,224,"34,347","17,776","16,569",981,-325,"-1,161"
FIS,24.06/30,"2,489",378,243,"34,598","17,557","17,037",442,-213,"-1,399"
FIS,24.03/31,"2,467",361,724,"35,871","17,846","18,021",-35,"9,381","-9,511"
FIS,23.12/31,"2,510",331,251,"54,973","35,917","19,050","1,525",-496,-835
FIS,23.09/30,"2,492",470,-461,"53,174","33,690","19,477","1,092",-181,-960
FIS,23.06/30,"2,424",351,"-6,596","53,574","33,301","20,266","1,087",-209,-801
FIS,23.03/31,"2,397",311,140,"61,078","33,974","27,097",632,-207,-896
FIS,22.12/31,"2,525",379,"-17,366","63,278","35,872","27,218","1,141",-205,-683
FIS,22.09/30,"2,415",384,249,"78,317","32,802","45,328",878,-39,-288
FIS,22.06/30,"3,719",374,277,"79,620","32,930","46,506","1,024",161,-517
FIS,22.03/31,"3,492",157,120,"81,198","33,988","47,026",896,-290,"-1,085"
FIS,21.12/31,-866,440,291,"82,931","35,399","47,347","1,113","-1,174",499
FIS,21.09/30,"3,507",138,158,"81,690","34,397","47,105","1,833",-274,-782
FIS,21.06/30,"3,475",363,341,"82,288","33,709","48,392","1,028",-2,-874
FIS,21.03/31,"3,223",99,-373,"82,317","33,668","48,460",836,-321,"-1,381"
FIS,20.12/31,"3,316",167,104,"83,842","34,355","49,300","1,418",301,"-1,558"
FIS,20.09/30,"3,197",231,20,"83,195","33,974","49,031","1,411",-269,-796
FIS,20.06/30,"2,962",46,19,"82,642","33,409","49,043","1,230",-330,-874
FIS,20.03/31,"3,078",108,15,"82,474","33,117","49,167",383,-616,477
FIS,19.12/31,"3,342",123,-158,"83,806","34,350","49,440",669,-334,"-1,010"
FIS,19.09/30,"2,822",140,154,"83,718","34,506","49,195",921,"-6,883",76
FIS,19.06/30,"2,112",391,154,"32,859","22,867","9,985",526,-141,"8,790"
FIS,19.03/31,"2,057",315,148,"24,073","14,170","9,896",294,-143,-275
FIS,18.12/31,"2,167",469,298,"23,770","13,548","10,215",705,-236,-442
FIS,18.09/30,"2,084",342,154,"23,694","13,528","10,081",465,-159,-305
KMB,24.09/30,"4,952","1,154",907,"17,165","15,721","1,285",958,470,"-1,482"
KMB,24.06/30,"5,029",655,544,"17,280","15,999","1,136","1,021",-195,-513
KMB,24.03/31,"5,149",853,647,"17,092","15,908","1,044",438,-181,-485
KMB,23.12/31,"4,970",670,509,"17,344","16,276",915,"1,215",-152,-754
KMB,23.09/30,"5,132",774,587,"17,153","16,313",680,927,-191,-468
KMB,23.06/30,"5,134",113,102,"17,383","16,732",500,787,40,-755
KMB,23.03/31,"5,195",787,566,"18,177","17,316",719,613,-115,-397
KMB,22.12/31,"4,964",712,507,"17,970","17,270",547,991,-268,-651
KMB,22.09/30,"5,053",655,467,"17,836","17,253",437,798,-240,-489
KMB,22.06/30,"5,063",621,437,"18,114","17,372",593,740,-161,-753
KMB,22.03/31,"5,095",693,523,"18,672","17,818",705,204,-116,133
KMB,21.12/31,"4,965",521,357,"17,837","17,100",514,"1,062",-320,-755
KMB,21.09/30,"5,010",657,469,"17,775","17,068",474,782,-249,-547
KMB,21.06/30,"4,722",613,404,"17,827","17,069",524,565,-242,-342
KMB,21.03/31,"4,743",770,584,"17,226","16,480",518,321,-245,-52
KMB,20.12/31,"4,836",749,539,"17,523","16,654",626,887,"-1,328",-795
KMB,20.09/30,"4,683",666,472,"16,531","15,954",335,559,-287,-205
KMB,20.06/30,"4,612",925,681,"16,173","15,678",268,"1,579",-331,-787
