,금리,금리등락률,GDP,GDP등락률,유가,유가등락률,S&P500
101,5.5,0.0,3.0,1.4,85.26,3.96,534.01
102,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
103,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
104,5.5,0.25,4.4,2.0,86.72,8.92,443.37
105,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
106,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
107,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
108,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
109,1.75,1.25,0.3,1.3,108.08,12.49,389.8
110,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
111,0.25,0.0,7.4,3.9,80.0,10.0,453.42
112,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
113,0.25,0.0,6.4,0.8,66.0,6.0,422.6
114,0.25,0.0,5.6,1.2,60.0,14.5,383.63
115,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
116,0.25,0.0,35.2,63.9,42.9,12.4,342.57
117,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
118,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
119,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
120,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
121,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
122,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
123,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
124,2.25,0.0,2.5,0.0,73.76,0.0,290.72
125,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
126,5.5,0.0,3.0,1.4,85.26,3.96,534.01
127,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
128,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
129,5.5,0.25,4.4,2.0,86.72,8.92,443.37
130,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
131,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
132,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
133,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
134,1.75,1.25,0.3,1.3,108.08,12.49,389.8
135,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
136,0.25,0.0,7.4,3.9,80.0,10.0,453.42
137,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
138,0.25,0.0,6.4,0.8,66.0,6.0,422.6
139,0.25,0.0,5.6,1.2,60.0,14.5,383.63
140,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
141,0.25,0.0,35.2,63.9,42.9,12.4,342.57
142,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
143,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
144,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
145,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
146,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
147,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
148,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
149,2.25,0.0,2.5,0.0,73.76,0.0,290.72
150,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
151,5.5,0.0,3.0,1.4,85.26,3.96,534.01
152,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
153,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
154,5.5,0.25,4.4,2.0,86.72,8.92,443.37
155,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
156,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
157,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
158,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
159,1.75,1.25,0.3,1.3,108.08,12.49,389.8
160,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
161,0.25,0.0,7.4,3.9,80.0,10.0,453.42
162,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
163,0.25,0.0,6.4,0.8,66.0,6.0,422.6
164,0.25,0.0,5.6,1.2,60.0,14.5,383.63
165,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
166,0.25,0.0,35.2,63.9,42.9,12.4,342.57
167,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
168,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
169,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
170,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
171,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
172,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
173,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
174,2.25,0.0,2.5,0.0,73.76,0.0,290.72
175,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
176,5.5,0.0,3.0,1.4,85.26,3.96,534.01
177,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
178,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
179,5.5,0.25,4.4,2.0,86.72,8.92,443.37
180,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
181,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
182,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
183,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
184,1.75,1.25,0.3,1.3,108.08,12.49,389.8
185,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
186,0.25,0.0,7.4,3.9,80.0,10.0,453.42
187,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
188,0.25,0.0,6.4,0.8,66.0,6.0,422.6
189,0.25,0.0,5.6,1.2,60.0,14.5,383.63
190,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
191,0.25,0.0,35.2,63.9,42.9,12.4,342.57
